VEHICLE_GY_ON,VEHICLE_GY_OFF,LED_ON,STATION_GY_ON,STATION_GY_OFF,PHOTOTRANSISTOR
1770128553084476077,1770128553347320318,1770128553084476244,1770128553077131827,1770128553355519057,1770128553084957281
1770128554823621068,1770128555119516190,1770128554823621142,1770128554823828037,1770128555116412744,1770128554824101760
1770128556579790796,1770128556834382020,1770128556579790851,1770128556573190750,1770128556845824198,1770128556580266459
1770128558448598019,1770128558734301689,1770128558448598075,1770128558449090004,1770128558731044650,1770128558449065707
1770128560096561879,1770128560390601224,1770128560096562045,1770128560091979751,1770128560397893036,1770128560097038029
1770128562002835528,1770128562318567779,1770128562002835676,1770128562003630058,1770128562313310338,1770128562003313057
1770128563722182017,1770128564055545000,1770128563722182091,1770128563717311444,1770128564061226573,1770128563722657316
1770128565393774740,1770128565711824536,1770128565393774796,1770128565394779787,1770128565707518278,1770128565394247804
1770128567093031145,1770128567390132730,1770128567093031219,1770128567089165374,1770128567397258570,1770128567093498779
1770128568727069638,1770128569037685029,1770128568727069712,1770128568729100523,1770128569032885924,1770128568727539647
1770128570815241519,1770128571121679700,1770128570815241667,1770128570812246967,1770128571131134166,1770128570815713832
1770128572600285946,1770128572896811567,1770128572600286001,1770128572601691752,1770128572893739035,1770128572600758767
1770128575710404280,1770128575985010616,1770128575710404335,1770128575712024068,1770128575982729714,1770128575710873731
1770128577873847327,1770128578134631439,1770128577873847383,1770128577868316475,1770128578142705335,1770128577874323072
1770128579755281190,1770128580026204295,1770128579755281246,1770128579757261837,1770128580023679945,1770128579755748646
1770128581414192492,1770128581690250908,1770128581414192547,1770128581409349857,1770128581695106401,1770128581414664062
1770128583001071374,1770128583282091015,1770128583001071430,1770128583001982885,1770128583279616473,1770128583001535569
1770128584630324602,1770128584899169617,1770128584630324676,1770128584624591070,1770128584906915280,1770128584630797224
1770128586197870832,1770128586463195626,1770128586197870887,1770128586199346652,1770128586460631800,1770128586198335574
1770128587819866816,1770128588097103794,1770128587819866982,1770128587814832112,1770128588103030801,1770128587820332836
1770128589430593733,1770128589707946027,1770128589430593788,1770128589431920542,1770128589704080188,1770128589431066187
1770128591150560551,1770128591432280339,1770128591150560644,1770128591146062259,1770128591437472625,1770128591151034703
1770128597549947892,1770128597809499313,1770128597549947966,1770128597545557148,1770128597816298022,1770128597550415647
1770128599189548216,1770128599469790972,1770128599189548272,1770128599191841937,1770128599466767864,1770128599190017690
1770128600820371175,1770128601093706351,1770128600820371267,1770128600813800769,1770128601102007494,1770128600820838925
1770128602297372324,1770128602585539488,1770128602297372398,1770128602298647964,1770128602583465009,1770128602297845350
